K,D
Adams,7423274
Barnes,35060160
Benson,21100729
Billings,2480761
Bottineau,20368857
Bowman,9983243
Burke,6235170
Burleigh,257606315
Cass,474538283
Cavalier,12650932
Dickey,16757020
Divide,6561503
Dunn,11203030
Eddy,7556342
Emmons,11247385
Foster,10591552
GoldenValley,5322706
GrandForks,211834209
Grant,7584857
Griggs,7667232
Hettinger,7847824
Kidder,7714756
LaMoure,13113501
Logan,6304872
McHenry,17092858
McIntosh,8899692
McKenzie,20150246
McLean,28394104
Mercer,26689571
Mortonne,87035754
Mountrail,24310194
Nelson,9904036
Oliver,5848640
Pembina,23486442
Pierce,13804186
Ramsey,36279947
Ransom,17289291
Renville,7825646
Richland,51709459
Rolette,44156285
Sargent,12131335
Sheridan,4185295
Sioux,13157857
Slope,2303338
Stark,76669150
Steele,6257348
Stutsman,66850657
Towner,7115951
Traill,25729582
Walsh,35228079
Ward,195403521
Wells,13328944
Williams,70963082
