I1,MS
Adams,7614
Barnes,15982
Benson,17437
Billings,3228
Bottineau,21623
Bowman,8757
Burke,15505
Burleigh,13536
Cass,21291
Cavalier,24725
Dickey,12091
Divide,12531
Dunn,13403
Eddy,9304
Emmons,11722
Foster,5248
Golden  Valley,5081
Grand  Forks,29021
Grant,12728
Griggs,12155
Hettinger,9403
Kidder,20471
LaMoure,15604
Logan,9302
McHenry,21008
McIntosh,8504
McKenzie,13275
McLean,24821
Mercer,6274
Mortonne,11513
Mountrail,16918
Nelson,20096
Oliver,8984
Pembina,19249
Pierce,12710
Ramsey,23556
Ransom,9076
Renville,7274
Richland,29425
Rolette,33508
Sargent,11433
Sheridan,11909
Sioux,14789
Slope,6882
Stark,10171
Steele,14277
Stutsman,24066
Towner,23023
Traill,5394
Walsh,33116
Ward,17662
Wells,12478
Williams,15904
